comparison,run,arm,method,racemode,metric,point_estimate,boot_median,ci_lo,ci_hi,p_raw,p_bh,fdr_sig
point,eval_fair-dann-resample,pretraining,dann,resample,ece_race_Black,0.001143,,,,,,
point,eval_fair-dann-resample,pretraining,dann,resample,ece_sex_Male,0.097023,,,,,,
point,eval_fair-dann-resample,pretraining,dann,resample,ece_sex_Female,0.073217,,,,,,
point,eval_fair-dann-resample,pretraining,dann,resample,ece_age_age<med,0.113177,,,,,,
point,eval_fair-dann-resample,pretraining,dann,resample,ece_age_age>=med,0.104731,,,,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,auc_overall,0.945607,,0.913930,0.972835,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,auc_race_White,0.948006,,,,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,auc_race_Asian,0.915991,,,,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,auc_race_Black,1.000000,,,,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,auc_sex_Male,0.921388,,,,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,auc_sex_Female,0.985258,,,,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,auc_age_age<med,0.934729,,,,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,auc_age_age>=med,0.947612,,,,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,aucdelta_race,0.032015,,0.001813,0.117586,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,aucdelta_sex,0.063870,,0.013665,0.115759,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,aucdelta_age,0.012883,,0.000819,0.082538,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,esauc_race,0.916273,,0.833288,0.952559,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,esauc_sex,0.888837,,0.823232,0.950257,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,esauc_age,0.933580,,0.860421,0.959786,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,ecedelta_race,0.056749,,0.005110,0.128915,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,ecedelta_sex,0.011875,,0.001123,0.075204,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,ecedelta_age,0.037405,,0.001853,0.100613,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,ece_race_White,0.051534,,,,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,ece_race_Asian,0.108283,,,,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,ece_race_Black,0.024446,,,,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,ece_sex_Male,0.077233,,,,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,ece_sex_Female,0.065359,,,,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,ece_age_age<med,0.110583,,,,,,
point,eval_fair-contrastive-none,pretraining,contrastive,none,ece_age_age>=med,0.073179,,,,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,auc_overall,0.944193,,0.912698,0.969200,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,auc_race_White,0.962607,,,,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,auc_race_Asian,0.903464,,,,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,auc_race_Black,1.000000,,,,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,auc_sex_Male,0.927955,,,,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,auc_sex_Female,0.977887,,,,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,auc_age_age<med,0.915025,,,,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,auc_age_age>=med,0.964946,,,,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,aucdelta_race,0.059143,,0.003170,0.142585,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,aucdelta_sex,0.049932,,0.004640,0.099146,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,aucdelta_age,0.049921,,0.003848,0.115733,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,esauc_race,0.891469,,0.811638,0.948588,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,esauc_sex,0.899290,,0.836351,0.950312,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,esauc_age,0.899299,,0.825139,0.956358,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,ecedelta_race,0.107126,,0.017976,0.204534,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,ecedelta_sex,0.081227,,0.007985,0.152943,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,ecedelta_age,0.059502,,0.004837,0.149395,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,ece_race_White,0.083713,,,,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,ece_race_Asian,0.190840,,,,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,ece_race_Black,0.000002,,,,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,ece_sex_Male,0.158066,,,,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,ece_sex_Female,0.076839,,,,,,
